Designation,Job Type,Company Name,Location,JD Folder Name,Applied On,Applied Through,Salary Demand,Tech Stack
Software Developer,Full Time,Safety io,"Berlin, Germany",safety_io,17-04-25,Company Website,48000€ per year,"Python, Linux, MQTT, REST APIs, Bash scripting, and PostgreSQL"
Senior (PHP) Engineer,Full Time,IU Internationale Hochschule,"Munich, Berlin, Cologne, Erfurt, Hamburg, Leipzig, Stuttgart",iu_internationale_hochschule,18-04-25,Company Website,55000€ per year,"PHP, Vue.js 3, Tailwind CSS, Vite, Kafka, AWS, Docker, DataDog, GitLab, DDD"
Working Student Software R&D Tool Integration and Automation,Working Student,Philips,Böblingen,philips,18-04-25,Company Website,between 17-20 €/h,"Python, Azure DevOps"
Backend-Developer,Permanent,Exclusive Associates,Düren,exclusive_associates,18-04-25,Company Website,N/A,"PHP, Symfony, Docker und Unit Testing"
PHP-Entwickler,Permanent,Exclusive Associates,Düren,exclusive_associates,18-04-25,Company Website,N/A,"PHP, Symfony, Docker und Unit Testing"
PHP Webentwickler,Permanent,Exclusive Associates,Düren,exclusive_associates,18-04-25,Company Website,N/A,"PHP, Symfony, Docker und Unit-Test-Frameworks"
PHP Developer,Permanent,Exclusive Associates,Düsseldorf,,18-04-25,Company Website,N/A,"PHP, Laravel, MySQL"
PHP-Entwickler,Permanent,Exclusive Associates,Düsseldorf,,18-04-25,Company Website,N/A,"PHP, Laravel, MySQL"
PHP Developer mit Schwerpunkt Laravel,Permanent,Exclusive Associates,Remote,,18-04-25,Company Website,N/A,"PHP, Laravel, MySQL"
PHP Developer mit Schwerpunkt Laravel,Permanent,Exclusive Associates,Düsseldorf,,18-04-25,Company Website,N/A,"PHP, Laravel, MySQL"
PHP Developer mit Schwerpunkt Laravel,Permanent,Exclusive Associates,Düren,,18-04-25,Company Website,N/A,"PHP, Laravel, MySQL"
PHP-Developer,Permanent,Exclusive Associates,Düsseldorf,,18-04-26,Company Website,N/A,"PHP, Laravel, MySQL"
PHP Entwickler,Permanent,Exclusive Associates,Düsseldorf,,18-04-27,Company Website,N/A,"PHP, Laravel, MySQL"
Senior PHP Entwickler,Permanent,DIS AG,Recklinghausen,dis_ag,18-04-27,Stepstone,N/A,"PHP, Laravel, MySQL"
Junior Backend Engineer (PHP),Full-time,AMBOSS,"Berlin, Germany",amboss,18-04-27,Linkedin Easy Apply,48000€ per year,"PHP, Symfony, MySQL"
Prompt Engineering Intern,Intern,Tekkr,"Berlin, Germany",tekkr,20-04-27,join.com,N/A,"LLM-based pipeline, AI"
Backend Entwickler,Full-time,DIS AG,"Stuttgart, Germany",,21-04-27,Company Website,N/A,PHP
PHP Software Engineer - Schwerpunkt Backend,Full-time,campoint AG,"Seligenstadt, Hesse, Germany",campoint_ag,21-04-27,Company Website,N/A,"PHP, React"
AI Trend Scout (working student),Full-time,tesa,"Hamburg, Germany",tesa,25-04-25,Company Website,16 Euro/hour,AI
Working Student Application Landscape,Working Student,BayWa r.e. Solar Trade Global,"Tübingen, Baden-Württemberg, Germany",bay_wa,26-04-25,Company Website,18000 Euro/year,Documentation MS Office Package
